churn,age,housing,credit_score,deposits,withdrawal,purchases_partners,purchases,cc_taken,cc_recommended,cc_disliked,cc_liked,cc_application_begin,app_downloaded,web_user,app_web_user,ios_user,android_user,registered_phones,payment_type,waiting_4_loan,cancelled_loan,received_loan,rejected_loan,zodiac_sign,left_for_two_month_plus,left_for_one_month,rewards_earned,reward_rate,is_referred,credit_score_missing
0,26.0,1,607.0,19.0,0.0,69.0,19.0,0.0,149.0,0.0,0.0,13.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,30.0,1.0,0.0,0.0
0,19.0,1,548.0,4.0,0.0,140.0,4.0,0.0,274.0,0.0,0.0,27.0,1.0,1.0,1.0,0.0,1.0,0.0,2,0.0,0.0,0.0,0.0,9,0.0,0.0,66.0,2.2,1.0,0.0
1,47.0,2,451.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,4,0.0,0.0,0.0,0.0,12,0.0,0.0,4.0,0.13,0.0,0.0
0,25.0,0,551.0,0.0,0.0,23.0,0.0,0.0,26.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,8,0.0,0.0,13.0,0.43,1.0,0.0
0,24.0,2,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,10,0.0,0.0,1.0,0.25,0.0,1.0
0,32.0,2,539.0,10.0,0.0,12.0,10.0,0.0,71.0,0.0,0.0,15.0,1.0,1.0,1.0,1.0,0.0,0.0,4,0.0,0.0,0.0,0.0,10,0.0,0.0,10.0,0.63,1.0,0.0
0,17.0,2,0.0,1.0,0.0,17.0,1.0,0.0,26.0,0.0,0.0,4.0,1.0,1.0,1.0,0.0,1.0,0.0,1,0.0,0.0,0.0,0.0,4,0.0,0.0,8.0,0.5,0.0,1.0
0,31.0,1,426.0,5.0,1.0,19.0,5.0,0.0,51.0,0.0,0.0,9.0,1.0,0.0,0.0,0.0,1.0,2.0,0,0.0,0.0,0.0,0.0,10,0.0,0.0,11.0,0.37,1.0,0.0
0,37.0,2,551.0,0.0,0.0,0.0,0.0,0.0,217.0,0.0,0.0,53.0,1.0,1.0,1.0,1.0,0.0,2.0,3,0.0,0.0,0.0,0.0,12,0.0,0.0,74.0,2.47,1.0,0.0
0,23.0,2,490.0,0.0,0.0,9.0,0.0,0.0,21.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,8,0.0,0.0,5.0,0.5,0.0,0.0
