churn,age,housing,credit_score,deposits,withdrawal,purchases_partners,purchases,cc_taken,cc_recommended,cc_disliked,cc_liked,cc_application_begin,app_downloaded,web_user,app_web_user,ios_user,android_user,registered_phones,payment_type,waiting_4_loan,cancelled_loan,received_loan,rejected_loan,zodiac_sign,left_for_two_month_plus,left_for_one_month,rewards_earned,reward_rate,is_referred,credit_score_missing
0,45.0,2,572.74164,0.0,0.0,77.532814,0.0,0.0,189.68146,0.0,0.0,5.0,1.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1,1.0,0.0,44.0,1.4,0.0,0.0
0,40.0,1,496.0,0.0,0.0,62.70264,0.0,0.0,165.1706,0.0,0.0,6.0,1.0,0.0,0.0,1.0,0.0,5.0,0,0.0,0.0,0.0,0.0,11,0.0,0.0,44.0,1.4,1.0,0.0
0,39.0,2,574.3499,0.0,0.0,5.2706485,0.0,0.0,93.42204,0.0,0.0,9.0,1.0,1.0,1.0,0.0,1.0,2.0,0,0.0,0.0,0.0,0.0,9,0.0,0.0,45.0,1.4,0.0,0.0
0,40.0,2,475.09802,0.0,0.0,7.0,0.0,0.0,24.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,10,1.0,0.0,8.0,0.43,0.0,0.0
0,43.0,1,573.878,44.1164,22.602524,45.593964,43.612755,0.0,215.72934,0.0,0.0,27.952034,1.0,1.0,1.0,1.0,0.0,0.0,2,0.0,0.0,0.0,0.0,8,0.0,0.0,29.0,0.9442097,1.0,0.0
0,57.412067,2,510.0,2.0,0.0,48.165474,2.0,0.0,100.22225,0.0,0.0,6.0,1.0,1.0,1.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,10,0.0,0.0,22.0,0.8693216,1.0,0.0
0,32.0,1,602.0729,0.0,0.0,235.32437,0.0,0.0,211.77197,0.0,0.0,15.0,1.0,1.0,1.0,0.0,1.0,2.0,0,0.0,0.0,0.0,0.0,12,0.0,0.0,54.0,1.87,1.0,0.0
0,28.0,2,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,6,0.0,0.0,2.0,0.27,0.0,1.0
0,41.0,2,575.73914,0.0,0.0,47.0,0.0,0.0,114.86318,0.0,0.0,14.0,1.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,9,0.0,0.0,27.919266,1.0,0.0,0.0
0,23.0,1,586.0,6.0,1.0,65.0,8.0,0.0,125.11018,0.0,0.0,9.0,1.0,1.0,1.0,0.0,1.0,0.0,2,0.0,0.0,0.0,0.0,4,0.0,0.0,47.186176,1.6421266,1.0,0.0
