churn,age,housing,credit_score,deposits,withdrawal,purchases_partners,purchases,cc_taken,cc_recommended,cc_disliked,cc_liked,cc_application_begin,app_downloaded,web_user,app_web_user,ios_user,android_user,registered_phones,payment_type,waiting_4_loan,cancelled_loan,received_loan,rejected_loan,zodiac_sign,left_for_two_month_plus,left_for_one_month,rewards_earned,reward_rate,is_referred,credit_score_missing
1,28.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,4,0.0,0.0,25.0,0.943994,0.0,1.0
1,29.0,2,570.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0
1,25.0,2,0.0,0.0,0.0,0.0,0.0,0.0,14.070322,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,1,0.0,0.0,7.0,0.2716419,0.0,1.0
1,39.0,1,549.8464,0.0,0.0,0.0,0.0,1.3973153,233.96526,0.0,0.0,15.0,1.0,1.0,1.0,1.0,0.0,0.0,4,0.0,0.0,0.0,0.0,1,0.0,0.0,55.245445,1.8,0.0,0.0
1,27.0,1,539.0,0.0,0.0,0.0,0.0,0.0,233.0,0.0,0.0,24.033909,1.0,1.0,1.0,0.0,1.0,0.0,4,0.0,1.0,0.0,0.0,10,0.0,0.0,64.50944,2.1,0.0,0.0
1,25.0,0,439.44928,0.0,0.0,63.0,0.0,0.0,123.343765,0.0,0.0,4.0,1.0,0.0,0.0,0.0,1.0,2.0,3,0.0,0.0,0.0,0.0,9,0.0,0.0,23.0,0.7915409,1.0,0.0
1,46.53313,0,520.0,14.0,1.0,11.0,15.0,0.0,92.16813,0.0,0.0,28.0,1.0,1.0,1.0,1.0,0.0,4.9972467,0,0.0,0.0,0.0,0.0,8,1.0,0.0,20.0,0.6078296,1.0,0.0
1,38.0,1,614.8421,0.0,0.0,0.0,0.0,0.0,50.160717,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,1,0.0,0.0,0.0,0.0,7,0.0,0.0,11.0,0.83,0.0,0.0
1,25.0,2,0.0,0.0,0.0,66.0,0.0,0.0,147.13945,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,2,0.0,0.0,0.0,0.0,6,1.0,0.0,41.662918,1.5,1.0,1.0
1,46.0,2,571.0,5.100725,0.0,5.0,6.0,0.0,28.389963,0.0,0.0,9.0,1.0,1.0,1.0,0.0,1.0,0.0,2,0.0,0.0,0.0,0.0,11,1.0,0.0,4.0,0.20820087,0.0,0.0
