age,housing,credit_score,deposits,withdrawal,purchases_partners,purchases,cc_taken,cc_recommended,cc_disliked,cc_liked,cc_application_begin,app_downloaded,web_user,app_web_user,ios_user,android_user,registered_phones,payment_type,waiting_4_loan,cancelled_loan,received_loan,rejected_loan,zodiac_sign,left_for_two_month_plus,left_for_one_month,rewards_earned,reward_rate,is_referred,credit_score_missing,cond
38.0,1,588.7079,0.0,0.0,89.67052,0.0,0.0,198.04109,0.0,0.0,25.915266,1.0,1.0,1.0,1.0,0.0,0.0,1,0.0,0.0,0.0,0.0,7,0.0,0.0,48.0,1.6,0.0,0.0,2
51.60272,2,0.0,0.0,0.0,0.0,0.0,1.0,154.22919,0.0,0.0,14.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,7,0.0,0.0,60.839928,1.97,0.0,1.0,2
23.0,1,0.0,0.0,0.0,0.0,0.0,0.0,171.29065,0.0,0.0,3.0,1.0,1.0,1.0,0.0,1.0,0.0,0,0.0,0.0,1.0,0.0,7,0.0,0.0,47.0,1.47,0.0,1.0,2
27.479923,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,1.0,2
21.0,2,0.0,0.0,0.0,0.0,0.0,0.0,115.85866,0.0,0.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,4,0.0,0.0,0.0,0.0,6,0.0,0.0,53.96586,1.9,0.0,1.0,2
47.0,2,675.19574,2.0,1.0,41.0,2.0,0.0,177.8848,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,4,0.0,0.0,0.0,0.0,3,0.0,0.0,46.0,1.37,0.0,0.0,2
25.0,1,551.4589,1.0,0.0,19.0,1.0,0.0,236.8826,0.0,0.0,43.080734,1.0,1.0,1.0,0.0,1.0,3.0,1,0.0,0.0,0.0,0.0,2,0.0,0.0,61.51759,2.03,1.0,0.0,2
36.0,0,546.0,0.0,0.0,39.0,0.0,0.0,74.875755,0.0,0.0,5.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,10,0.0,0.0,27.0,0.9,0.0,0.0,2
47.0,2,508.42505,16.0,1.0,4.0,15.989546,0.0,19.141115,0.0,0.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,1,0.0,0.0,0.0,0.0,8,0.0,0.0,5.0,0.63,0.0,0.0,2
28.0,1,543.58813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,3,0.0,0.0,0.0,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0,2
26.0,1,527.0,0.0,0.0,23.0,0.0,0.0,56.537277,0.0,0.0,8.0,1.0,1.0,1.0,0.0,1.0,3.0,1,0.0,0.0,0.0,0.0,12,1.0,1.0,14.845399,0.6,1.0,0.0,2
22.0,1,0.0,14.0,0.0,57.0,11.429094,0.0,98.59688,0.0,0.0,17.0,1.0,1.0,1.0,0.0,1.0,2.0,3,0.0,0.0,0.0,0.0,7,1.0,0.0,20.07053,0.658399,0.0,1.0,2
27.0,1,550.0,0.0,0.0,0.0,0.0,0.0,185.17667,0.0,0.0,10.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,3,0.0,0.0,70.01088,2.3430483,0.0,0.0,2
25.0,1,493.93536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,8,0.0,0.0,0.0,0.0,0.0,0.0,2
25.0,2,546.0,0.0,0.0,20.0,0.0,0.0,45.829365,0.0,0.0,3.0633957,1.0,1.0,1.0,1.0,0.0,0.0,3,0.0,0.0,0.0,0.0,9,0.0,0.0,8.0,0.33,1.0,0.0,2
31.0,2,562.0,1.0,0.0,31.0,2.0,0.0,60.658894,0.0,0.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,7,0.0,0.0,22.0,1.0,0.0,0.0,2
27.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1.0,2
23.0,1,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1,0.0,0.0,0.0,0.0,12,0.0,0.0,3.0,0.20241861,1.0,1.0,2
27.0,2,0.0,0.0,0.0,7.0,0.0,0.0,5.2454166,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0,0.0,0.0,0.0,0.0,6,0.0,0.0,2.0,0.2,0.0,1.0,2
74.12889,2,0.0,0.0,0.0,0.0,0.0,0.0,97.735405,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,8,0.0,1.0,45.0,1.5,0.0,1.0,2
23.0,2,588.43463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,0.0,0.0,2
