age,workclass,fnlwgt,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
38.0,4,153140.3,9,2,2,1,0,0,0.0,0.0,40.0,1,1
48.0,5,135059.42,14,2,7,1,0,0,0.0,0.0,40.0,1,1
56.0,2,107219.24,14,-1,7,2,0,0,0.0,0.0,12.503489,1,1
39.0,1,210749.8,16,2,7,1,0,0,77325.47,0.0,48.0,1,1
41.0,4,161850.28,10,2,7,1,0,0,0.0,2046.1608,50.0,1,1
41.0,4,289748.4,10,2,5,1,0,1,0.0,1740.1453,32.0,1,1
28.0,6,38180.844,11,2,6,1,0,0,0.0,0.0,40.0,1,1
43.0,4,184222.69,9,2,3,1,0,0,0.0,0.0,50.0,1,1
34.0,4,248279.61,13,2,7,1,0,0,0.0,0.0,40.0,1,1
49.0,4,114173.22,9,2,3,1,0,0,0.0,1892.3547,40.0,1,1
47.0,4,334835.38,13,2,7,1,0,0,0.0,0.0,40.0,1,1
48.0,4,184650.92,9,2,2,1,0,0,0.0,0.0,40.0,1,1
37.0,4,391334.75,16,2,7,1,0,0,0.0,0.0,40.0,0,1
39.0,4,235485.22,13,2,3,1,0,0,0.0,0.0,40.0,1,1
26.0,4,103825.08,9,0,3,-1,0,0,0.0,0.0,40.0,1,1
39.0,4,247168.64,14,0,7,0,0,1,5013.0,0.0,40.0,1,1
45.0,3,279639.56,9,2,4,1,0,0,5292.5073,0.0,40.0,1,1
55.0,3,424498.5,10,2,6,1,0,0,0.0,0.0,40.0,1,1
43.0,1,182359.95,11,2,4,1,0,0,0.0,0.0,40.0,1,1
29.0,4,270395.84,15,0,7,0,0,1,0.0,0.0,44.0,1,1
61.0,4,143995.55,14,2,7,1,0,0,27869.293,0.0,50.0,1,1
65.0,4,244436.3,9,2,2,1,0,0,0.0,0.0,40.0,1,1
42.0,4,171178.86,10,2,6,1,0,0,0.0,1883.5939,50.0,1,1
61.0,5,209474.77,10,2,2,1,0,0,6932.983,0.0,45.0,1,1
44.0,4,155182.75,14,-1,6,2,0,1,0.0,0.0,50.0,1,1
51.0,4,199317.61,13,2,5,1,0,0,0.0,0.0,45.0,1,1
45.0,4,223650.58,9,-1,3,0,0,0,0.0,0.0,40.0,1,1
52.0,4,147941.12,10,2,6,1,0,0,4396.468,0.0,61.942886,1,1
44.0,4,175901.12,12,2,3,1,0,0,0.0,0.0,45.0,1,1
45.0,4,112717.85,9,-1,2,0,0,0,7285.217,0.0,50.0,1,1
28.0,4,167390.42,13,2,6,1,0,0,0.0,1723.7908,60.0,1,1
30.0,4,470295.56,12,2,3,1,0,0,0.0,0.0,40.0,1,1
38.0,4,310989.84,13,2,7,1,0,1,0.0,0.0,11.336644,1,1
44.0,4,104346.59,10,2,3,1,0,0,0.0,0.0,45.0,1,1
42.0,4,109028.28,13,2,7,1,0,0,0.0,0.0,55.0,1,1
57.0,4,156304.53,13,2,6,1,0,0,7618.6597,0.0,45.0,1,1
61.369183,5,81076.484,13,2,7,1,0,0,0.0,0.0,50.0,1,1
51.0,4,109782.86,9,2,3,1,0,0,8889.44,0.0,50.0,1,1
29.0,4,311651.8,12,2,7,1,0,0,0.0,0.0,37.0,1,1
41.0,4,191123.11,11,2,3,1,0,0,0.0,0.0,40.0,1,1
50.4763,4,107737.07,7,2,3,1,0,0,0.0,0.0,40.0,1,1
43.0,5,59570.15,11,2,7,1,0,0,7465.7,0.0,55.0,1,1
54.0,5,44307.973,15,2,7,1,0,0,0.0,0.0,45.0,1,1
40.0,4,172920.02,16,2,3,1,0,0,0.0,0.0,55.0,0,1
52.0,4,143608.02,9,-1,3,0,0,1,0.0,0.0,40.0,1,1
54.0,4,129206.21,13,2,3,1,0,0,0.0,0.0,40.0,1,1
58.0,1,110438.66,9,2,6,1,0,1,0.0,0.0,40.0,1,1
43.0,4,194607.94,9,2,3,1,0,1,0.0,0.0,40.0,1,1
63.0,5,71511.5,15,2,7,1,0,0,0.0,0.0,49.581215,1,1
46.0,1,222019.17,13,2,7,1,0,0,0.0,0.0,40.0,1,1
48.0,4,74478.08,14,2,6,1,0,0,0.0,0.0,50.0,1,1
48.0,4,353461.6,10,2,6,1,0,0,0.0,0.0,40.0,1,1
54.0,4,230779.61,9,2,2,1,0,0,0.0,0.0,40.0,1,1
37.07158,4,236541.42,14,0,3,0,0,1,0.0,0.0,60.0,1,1
34.0,4,128382.01,10,2,6,1,0,0,0.0,0.0,60.0,1,1
38.0,3,27599.432,11,2,3,1,0,0,0.0,0.0,50.0,1,1
50.0,4,76479.914,9,2,3,1,0,1,0.0,0.0,40.0,1,1
51.0,4,391365.72,10,0,2,0,0,0,0.0,0.0,40.0,1,1
45.0,4,131687.52,9,2,3,1,0,0,42143.203,0.0,40.0,1,1
35.0,6,244991.06,10,2,2,1,0,0,6790.2915,0.0,40.0,1,1
45.0,4,296687.4,14,2,6,1,0,0,0.0,1747.4819,40.0,1,1
41.0,1,218319.52,14,-1,7,2,0,1,0.0,0.0,40.0,1,1
50.0,4,179688.62,10,2,3,1,0,0,0.0,0.0,50.0,1,1
64.0,1,202526.39,16,1,7,2,0,0,10278.347,0.0,72.09317,1,1
50.0,4,279824.8,9,2,2,1,0,0,0.0,0.0,40.0,1,1
37.0,4,138461.89,9,2,6,1,0,0,0.0,0.0,25.0,1,1
46.0,5,181009.14,10,2,3,1,0,0,0.0,0.0,50.0,1,1
45.0,3,260255.58,14,-1,6,2,1,0,0.0,0.0,45.396103,1,1
34.0,4,168470.73,3,2,3,1,-1,0,0.0,0.0,55.0,0,1
40.102177,1,193083.7,13,2,6,1,0,0,6138.287,0.0,60.0,1,1
51.0,4,196170.33,15,-1,7,0,0,0,99546.3,0.0,55.0,1,1
38.0,5,194961.23,9,2,2,1,0,0,0.0,0.0,70.0,1,1
41.0,5,235774.73,10,2,6,1,-1,0,0.0,0.0,50.0,1,1
56.0,5,131938.33,10,2,2,1,0,0,2174.0,0.0,40.0,1,1
32.0,5,132657.0,9,2,2,1,0,0,0.0,0.0,40.0,1,1
29.0,4,276383.12,9,2,3,1,0,0,0.0,0.0,40.0,1,1
38.0,4,246861.67,10,0,3,0,0,0,0.0,0.0,71.811554,1,1
32.0,4,290264.06,13,2,6,1,-1,0,0.0,0.0,60.0,1,1
43.0,4,195809.17,10,0,6,0,0,0,0.0,0.0,40.0,1,1
44.0,4,245162.06,13,2,6,1,0,1,0.0,0.0,40.0,1,1
59.0,4,240926.86,9,2,3,1,0,0,7347.8125,0.0,40.0,1,1
47.61251,6,25096.164,13,2,6,1,0,0,0.0,0.0,60.01941,1,1
48.0,3,173632.94,16,2,3,1,0,0,0.0,1996.2932,64.41259,1,1
40.0,4,73347.164,10,2,3,1,0,0,0.0,0.0,40.0,1,1
37.0,4,130605.67,11,-1,6,2,0,0,96775.02,0.0,40.0,1,1
41.0,6,156449.72,9,2,6,1,0,0,0.0,0.0,55.0,1,1
55.0,3,254025.08,11,-1,2,2,1,1,4749.3047,0.0,40.0,1,1
34.0,4,189177.73,13,2,3,1,0,0,0.0,0.0,40.0,1,1
40.0,4,332751.6,13,2,3,1,0,0,0.0,0.0,40.0,0,1
52.0,3,111811.8,9,2,6,1,0,0,0.0,0.0,70.0,1,1
42.0,5,111900.78,9,2,6,1,0,0,0.0,0.0,65.0,1,1
52.0,4,375137.28,11,2,6,1,1,0,0.0,0.0,40.0,1,1
45.0,5,168662.62,9,2,6,1,0,1,0.0,0.0,35.0,1,1
43.0,4,315082.16,10,2,7,1,0,0,4797.5557,0.0,60.0,1,1
38.0,4,58259.23,13,2,6,1,0,0,0.0,0.0,55.0,1,1
48.0,3,416271.16,10,2,4,1,1,0,0.0,0.0,45.0,1,1
30.0,4,80037.55,9,2,3,1,0,0,0.0,0.0,40.0,1,1
64.0,6,306525.56,15,2,7,1,0,0,11222.5,0.0,60.0,1,1
40.0,4,110173.16,13,2,3,1,0,0,0.0,1876.0,50.0,1,1
42.0,2,183817.78,9,2,3,1,1,0,0.0,0.0,40.0,0,1
39.0,4,110126.46,9,2,3,1,1,1,0.0,0.0,40.0,1,1
37.0,4,168659.55,11,2,2,1,0,0,0.0,0.0,48.0,1,1
33.0,4,260544.67,9,2,7,1,0,0,0.0,0.0,40.0,1,1
31.0,5,48788.86,9,2,2,1,0,0,0.0,0.0,25.0,1,1
46.0,4,241301.47,1,2,7,1,0,0,7437.268,0.0,45.0,0,1
59.0,4,107396.24,13,2,7,1,0,0,0.0,0.0,40.0,0,1
53.0,4,217436.94,9,2,2,1,0,0,0.0,0.0,40.0,1,1
55.0,4,191572.22,13,2,6,1,0,0,0.0,0.0,60.0,1,1
43.0,4,162882.58,13,2,3,1,0,0,0.0,0.0,50.0,1,1
33.0,4,235410.3,10,2,6,1,0,0,0.0,0.0,52.0,1,1
30.0,4,153383.62,10,2,2,1,0,0,0.0,0.0,64.98909,1,1
39.0,4,167916.77,14,0,7,0,0,0,0.0,0.0,49.087364,1,1
59.0,4,182056.17,9,2,2,1,0,0,0.0,0.0,40.0,1,1
56.0,4,60870.35,9,2,6,1,0,0,0.0,0.0,40.0,1,1
31.0,4,125591.8,13,2,3,1,0,0,0.0,0.0,50.0,1,1
43.0,4,146531.78,14,2,7,1,-1,0,0.0,0.0,45.0,1,1
50.0,4,129357.445,10,2,7,1,0,0,0.0,0.0,60.0,1,1
41.0,4,68919.586,16,0,6,0,0,0,99975.76,0.0,65.0,1,1
51.0,5,27438.285,14,2,6,1,0,0,0.0,0.0,50.0,1,1
56.0,4,169715.14,13,2,7,1,0,0,83156.195,0.0,40.0,1,1
56.0,6,177516.98,14,2,6,1,0,0,0.0,0.0,40.0,1,1
52.0,3,651373.2,12,-1,3,0,1,0,0.0,0.0,40.0,1,1
62.0,4,326036.28,13,2,6,1,0,0,0.0,0.0,40.0,1,1
43.0,4,180387.84,16,2,6,1,0,0,0.0,1601.907,50.0,1,1
42.0,4,171094.89,10,2,6,1,0,0,0.0,0.0,45.0,1,1
35.0,2,41998.348,10,2,3,1,0,0,4229.2256,0.0,40.0,1,1
42.0,6,28271.854,14,2,7,1,0,0,99999.0,0.0,60.0,1,1
39.0,4,178344.78,15,0,3,0,0,0,0.0,0.0,60.0,1,1
50.0,2,116278.06,9,2,6,1,0,0,64846.06,0.0,35.0,1,1
42.0,4,253348.89,9,2,3,1,0,1,0.0,0.0,55.0,1,1
38.0,4,52654.48,9,2,2,1,0,0,0.0,0.0,40.0,1,1
46.0,6,187708.84,10,2,4,1,0,0,0.0,0.0,55.618202,1,1
51.0,4,255746.27,13,2,6,1,0,0,0.0,0.0,40.0,1,1
42.0,4,232193.86,13,2,7,1,0,0,0.0,0.0,40.0,1,1
45.0,4,242662.92,13,2,6,1,0,0,0.0,0.0,40.0,0,1
30.0,4,180612.4,9,2,2,1,0,0,0.0,0.0,40.0,1,1
32.0,4,491723.5,14,2,6,1,0,0,4650.0,0.0,50.0,1,1
46.0,1,124358.51,12,2,2,1,-1,1,0.0,0.0,15.0,0,1
43.0,4,29425.842,13,2,7,1,0,0,0.0,0.0,45.0,1,1
35.0,4,335282.78,10,2,7,1,0,0,0.0,0.0,40.0,1,1
56.0,3,88428.69,13,2,6,1,0,1,0.0,0.0,40.0,1,1
29.434721,4,96173.07,9,2,2,1,0,0,5770.5366,0.0,40.0,1,1
50.0,4,39774.32,11,2,7,1,0,0,0.0,0.0,40.0,1,1
50.0,4,262065.84,9,2,3,1,0,0,0.0,0.0,40.0,1,1
30.0,4,113470.51,9,2,2,1,0,0,0.0,1931.223,52.0,1,1
45.0,4,97614.71,13,-1,3,2,0,1,0.0,0.0,40.0,1,1
56.0,6,344854.03,13,2,7,1,0,0,0.0,0.0,40.0,1,1
50.0,4,188739.1,10,2,2,1,1,0,6711.2563,0.0,40.0,1,1
33.0,4,176135.27,14,2,6,1,0,0,0.0,0.0,45.0,1,1
44.0,4,116479.48,10,2,6,1,0,0,0.0,0.0,45.0,1,1
61.0,4,253929.78,9,2,2,1,0,0,0.0,0.0,40.0,1,1
52.0,2,151884.03,14,2,6,1,0,0,0.0,0.0,40.0,1,1
26.0,2,252119.38,16,2,5,1,1,1,6694.9033,0.0,40.0,0,1
46.0,1,176082.66,14,2,6,1,0,0,0.0,0.0,40.0,1,1
48.0,3,231813.22,10,2,5,1,0,0,6726.6797,0.0,45.0,1,1
42.0,4,15371.229,11,-1,3,2,0,1,0.0,0.0,36.411987,1,1
57.0,4,25904.346,14,2,6,1,0,0,8855.339,0.0,40.0,1,1
39.964104,4,93219.68,13,-1,7,0,0,1,0.0,2184.6912,45.0,1,1
54.0,1,65051.3,13,2,6,1,0,0,0.0,0.0,60.0,1,1
34.0,4,335140.06,10,2,7,1,0,0,0.0,2055.8718,50.0,1,1
47.0,4,212790.11,14,2,7,1,0,0,0.0,0.0,50.0,1,1
47.0,4,283593.1,9,2,2,1,0,0,0.0,0.0,48.0,1,1
33.0,1,373566.5,14,2,7,1,0,0,0.0,0.0,40.0,0,1
45.0,1,291048.5,10,2,3,1,1,0,0.0,2001.2217,50.0,1,1
33.0,3,179246.6,10,2,7,1,0,0,0.0,0.0,40.145393,1,1
77.96721,4,189956.36,14,0,3,0,0,0,0.0,0.0,20.0,0,1
45.0,4,178324.84,13,2,6,1,0,0,4370.6826,0.0,40.0,1,1
45.0,4,116206.766,10,2,6,1,0,0,0.0,0.0,60.0,1,1
58.873093,6,98950.766,16,-1,7,0,0,0,0.0,0.0,62.43509,1,1
47.0,4,85283.79,9,2,1,1,0,0,0.0,0.0,55.0,1,1
51.0,5,195789.73,15,2,7,1,0,0,0.0,0.0,50.0,1,1
51.0,5,44355.203,9,2,2,1,0,0,0.0,0.0,50.0,1,1
52.0,6,142344.03,13,-1,7,0,0,0,99011.27,0.0,40.0,1,1
43.0,1,147855.14,13,2,7,1,0,0,0.0,1740.2281,50.0,1,1
34.0,3,192751.86,13,2,3,1,0,0,0.0,0.0,40.0,1,1
40.0,4,195335.69,9,-1,2,0,0,1,4650.0,0.0,50.0,1,1
37.0,4,149049.7,10,2,7,1,0,0,5013.0,0.0,50.0,1,1
46.53472,4,234119.88,9,2,3,1,0,0,0.0,0.0,40.0,1,1
49.0,4,41340.195,10,2,1,1,0,0,0.0,0.0,40.0,1,1
58.0,1,145611.02,9,-1,7,0,0,1,0.0,0.0,45.0,1,1
45.0,6,59073.02,9,2,2,1,0,0,0.0,0.0,40.0,1,1
46.0,4,17033.453,9,2,6,1,0,0,0.0,0.0,40.0,1,1
47.623924,4,207947.12,9,2,3,1,0,0,9562.0625,0.0,60.0,1,1
47.0,4,182240.77,9,2,3,1,0,0,7102.6733,0.0,50.0,1,1
68.0,2,60892.77,16,2,7,1,0,0,0.0,0.0,20.0,1,1
30.0,4,190878.48,10,2,6,1,0,0,0.0,0.0,40.0,1,1
48.0,4,99880.43,13,2,6,1,1,0,0.0,0.0,50.0,1,1
51.0,1,275156.03,13,2,7,1,1,0,7627.4326,0.0,40.0,1,1
39.0,4,132325.38,9,2,3,1,0,0,0.0,0.0,50.0,1,1
38.0,4,434321.28,13,2,7,1,0,0,0.0,0.0,35.0,1,1
51.0,5,389367.28,10,-1,3,2,0,1,0.0,0.0,32.0,1,1
40.0,4,212815.38,10,2,2,1,0,0,0.0,0.0,40.0,1,1
44.0,4,98378.47,14,2,6,1,0,0,0.0,0.0,43.0,1,1
48.0,4,21329.635,10,2,3,1,0,0,0.0,0.0,40.0,1,1
68.0,1,239795.11,13,2,7,1,0,0,0.0,0.0,40.0,1,1
48.0,4,228138.88,13,2,6,1,0,0,0.0,1740.254,50.0,1,1
32.0,4,70578.24,11,2,2,1,0,0,6703.2637,0.0,45.0,1,1
50.0,4,352900.2,10,2,3,1,0,1,0.0,0.0,50.0,1,1
54.0,4,165521.75,11,2,7,1,0,1,0.0,0.0,10.0,1,1
34.0,4,219541.22,15,2,7,1,0,1,0.0,0.0,40.0,1,1
39.0,4,259306.4,10,2,2,1,0,0,0.0,0.0,40.0,1,1
41.0,3,211513.62,9,2,5,1,0,0,0.0,0.0,40.0,1,1
37.0,4,202569.92,9,2,3,1,1,0,11773.613,0.0,40.0,1,1
67.0,5,422455.2,13,2,7,1,0,0,0.0,0.0,50.0,1,1
57.0,1,87783.84,5,2,3,1,0,0,0.0,0.0,40.0,1,1
32.0,5,107218.18,11,2,2,1,0,0,0.0,0.0,50.0,1,1
60.0,4,261773.75,14,2,7,1,0,0,0.0,0.0,45.0,1,1
48.0,4,208255.9,13,2,7,1,0,1,0.0,0.0,30.0,1,1
51.0,4,46067.105,11,2,3,1,0,0,5694.181,0.0,60.0,1,1
69.0,4,64417.938,10,2,2,1,-1,0,87975.31,0.0,30.0,0,1
56.0,4,196438.19,16,2,7,1,0,0,0.0,0.0,45.0,1,1
37.0,1,275624.88,13,0,6,0,0,0,0.0,0.0,45.0,1,1
49.0,5,136130.89,13,2,6,1,0,0,0.0,0.0,40.0,1,1
53.0,5,141062.27,14,2,7,1,0,0,94880.69,0.0,48.0,1,1
51.0,1,108135.39,14,2,6,1,0,0,0.0,0.0,40.0,1,1
56.0,6,90752.086,9,2,2,1,0,0,0.0,0.0,40.0,1,1
33.0,4,217223.62,13,2,6,1,0,0,0.0,0.0,55.0,1,1
49.0,5,154437.39,15,-1,7,2,0,1,0.0,1672.0,30.0,1,1
52.0,5,67092.61,14,2,7,1,0,0,11725.44,0.0,13.41416,1,1
43.0,1,254589.84,13,2,7,1,0,0,0.0,0.0,40.0,1,1
55.0,3,150841.34,12,2,6,1,0,0,0.0,0.0,99.0,1,1
47.0,5,64139.902,4,2,2,1,0,0,70534.375,0.0,40.0,1,1
40.0,4,276212.88,11,2,3,1,0,0,0.0,0.0,50.0,1,1
45.0,4,110316.41,11,-1,2,2,0,0,5013.0,0.0,40.0,1,1
43.0,4,97350.49,13,2,3,1,0,0,0.0,0.0,50.0,1,1
44.0,1,118442.414,14,2,7,1,0,0,76593.945,0.0,40.0,1,1
40.0,4,126070.336,10,2,5,1,0,0,0.0,0.0,40.0,1,1
39.0,4,132477.94,15,2,6,1,0,0,6396.644,0.0,40.0,1,1
43.0,4,382591.12,10,2,2,1,0,0,0.0,0.0,40.0,1,1
62.0,4,36527.777,11,2,2,1,0,0,0.0,0.0,40.0,1,1
31.0,4,287524.9,9,2,3,1,1,0,0.0,0.0,60.0,1,1
64.0,1,146655.47,14,2,6,1,0,1,0.0,0.0,45.0,1,1
36.0,4,139148.94,10,2,5,1,0,0,0.0,0.0,50.0,1,1
45.0,5,356000.2,10,2,6,1,0,0,0.0,0.0,40.0,1,1
42.0,1,439661.84,10,2,6,1,0,0,0.0,0.0,40.0,1,1
46.0,1,125507.24,13,2,7,1,0,0,0.0,0.0,50.0,1,1
59.0,4,190759.4,9,2,2,1,0,0,4650.0,0.0,40.0,1,1
40.0,4,229616.39,9,2,1,1,0,0,0.0,0.0,40.0,1,1
55.0,5,197207.84,11,2,3,1,0,0,0.0,0.0,40.0,1,1
48.0,4,22057.625,14,2,7,1,0,1,0.0,0.0,40.0,1,1
32.0,3,116987.555,15,2,6,1,0,0,10735.084,0.0,70.0,1,1
57.0,5,178911.17,16,2,7,1,0,0,0.0,0.0,50.0,1,1
34.0,4,140467.44,15,2,7,1,0,1,0.0,0.0,40.0,1,1
46.590744,4,266028.94,9,2,3,1,0,1,0.0,0.0,40.0,1,1
43.0,4,268661.34,9,2,2,1,1,0,0.0,0.0,60.0,1,1
50.0,3,153791.17,10,2,3,1,0,1,0.0,0.0,50.0,1,1
39.0,4,214938.4,13,0,3,0,0,0,0.0,0.0,57.358765,1,1
38.0,4,184086.92,13,2,6,1,0,0,84626.6,0.0,50.0,1,1
40.0,4,127277.43,13,2,2,1,0,0,0.0,0.0,50.0,1,1
32.0,4,133682.77,10,2,3,1,-1,0,0.0,0.0,40.0,1,1
56.0,4,504282.25,9,2,4,1,0,0,0.0,0.0,99.0,1,1
45.0,4,110485.56,10,2,2,1,0,0,0.0,0.0,40.0,1,1
58.0,3,229390.8,13,2,6,1,0,1,8940.795,0.0,50.0,1,1
56.0,4,192551.48,13,2,6,1,0,0,0.0,1676.1033,40.0,1,1
42.0,4,98486.29,9,2,3,1,0,0,0.0,0.0,40.0,1,1
35.0,4,130866.625,12,2,5,1,-1,0,0.0,0.0,50.0,0,1
37.0,5,199959.89,13,2,6,1,0,0,6880.568,0.0,60.0,1,1
41.0,4,335138.25,9,2,2,1,0,1,0.0,0.0,40.0,1,1
49.0,5,162910.52,10,2,4,1,-1,0,0.0,0.0,60.0,0,1
42.0,4,163704.89,13,2,3,1,0,0,0.0,1872.7299,45.0,1,1
54.0,4,179614.44,10,-1,2,0,0,0,0.0,0.0,40.0,1,1
37.0,4,269340.34,13,2,2,1,0,0,0.0,1939.8427,75.0,1,1
33.0,4,171293.7,10,2,3,1,0,0,7579.5586,0.0,70.0,0,1
