estimate_of_risk,months_since_first_trade,months_since_last_trade,average_duration_of_resolution,number_of_satisfactory_trades,nr_trades_insolvent_for_over_60_days,nr_trades_insolvent_for_over_90_days,percentage_of_legal_trades,months_since_last_illegal_trade,maximum_illegal_trades_over_last_year,maximum_illegal_trades,nr_total_trades,nr_trades_initiated_in_last_year,percentage_of_installment_trades,months_since_last_inquiry_not_recent,nr_inquiries_in_last_6_months,nr_inquiries_in_last_6_months_not_recent,net_fraction_of_revolving_burden,net_fraction_of_installment_burden,nr_revolving_trades_with_balance,nr_installment_trades_with_balance,nr_banks_with_high_ratio,percentage_trades_with_balance,cond
85.0,454.99918,16.150217,110.155396,21.47174,0.0,0.0,100.0,-7.0,7.0,8.0,16.0,0.0,20.0,20.58906,0.0,0.0,18.0,-8.0,5.0,1.0,0.0,67.0,0.0
84.0,90.44932,12.0,93.491325,16.0,0.0,0.0,100.0,-7.0,7.0,8.0,14.0,0.0,40.574574,-8.0,0.0,0.0,21.60176,61.71802,2.0,2.0,0.0,100.0,0.0
74.666916,323.37936,20.185946,145.66527,15.0,1.0,1.0,92.61316,29.090929,6.0,2.0,25.110735,0.0,20.0,23.95602,0.0,0.0,12.0,-8.0,1.0,1.7584018,0.0,28.291391,0.0
68.0,70.96664,6.0,31.20715,8.157168,0.0,0.0,100.0,-7.0,7.0,8.0,7.0,1.0,33.0,4.8102756,2.0,2.0,84.85527,90.0,2.5769808,2.0,1.0,78.19503,0.0
69.0,339.36258,3.0,84.0,27.0,1.2889038,1.0,88.0,2.0,5.0,-9.0,42.397854,5.0,31.764572,0.0,3.0,2.1427467,2.0,67.15537,2.0,3.0,0.0,30.891983,0.0
73.0,-7.1707816,6.0,54.895252,3.4771457,1.0,0.0,69.42011,18.292755,6.0,2.0,5.1290145,1.0,51.055847,-7.0,0.0,0.0,69.97706,90.04416,1.5180256,2.0,0.0,85.09368,0.0
79.0,133.4344,10.0,62.93859,18.0,0.0,0.0,100.0,-7.0,7.0,8.0,19.0,0.0,24.24363,9.987008,0.0,0.0,34.03965,67.02818,3.0,3.0,0.0,58.637733,0.0
83.20007,481.99124,22.080997,162.61761,27.0,0.0,0.0,97.0,63.148952,6.0,6.0,32.0,0.0,29.0,0.0,2.0,1.0,4.0,72.036964,9.0,2.0,0.0,57.73217,0.0
-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,0.0
68.76639,126.05328,14.0,185.50961,24.0,2.0,2.3045506,86.298996,3.0,6.0,6.0,6.792966,0.0,25.0,0.0,1.0,1.0,2.0,-8.0,3.0,-8.0,1.0,1.9030027,0.0
77.18805,360.75278,17.756466,90.0,21.148819,0.0,0.0,100.0,-7.0,7.0,8.0,21.0,0.0,24.0,0.0,1.0,1.0,53.172115,69.22252,7.0,2.0,5.4122105,50.0,0.0
66.9156,352.27603,11.0,92.0,35.93432,0.0,0.0,100.0,-7.0,7.0,8.0,39.58547,1.0,38.0,4.0,2.0,2.0,42.673492,50.34096,9.0,2.181791,3.0,56.0,0.0
91.0,161.55049,13.748849,106.88441,22.0,0.0,0.0,100.0,-7.0,7.0,8.0,30.0,0.0,29.634192,8.0,0.0,0.0,6.0,47.75146,2.0,3.0,0.0,50.0,0.0
79.0,253.58879,11.0,47.888027,12.0,0.0,0.0,100.0,-7.0,7.0,8.0,14.031988,1.0,16.9201,0.0,1.0,1.0,10.0,-8.0,1.0,2.0,0.0,80.0,0.0
62.564953,-8.0,10.0,87.83479,10.211889,1.4498035,0.0,74.7423,5.852539,4.0,3.0,7.2221966,1.0,29.959915,-7.0,0.0,0.0,58.4495,42.710155,3.0,2.0,0.0,56.0,0.0
78.36457,77.72505,57.683655,90.43425,11.0,0.0,0.0,93.0,45.68038,6.0,6.0,3.9718509,0.0,27.0,0.0,0.0,0.0,30.651384,-8.0,5.0,1.0,0.0,71.49832,0.0
89.0,281.02692,4.0,79.09599,9.660104,0.0,0.0,100.0,-7.0,7.0,8.0,10.960967,1.0,47.0,12.4348545,0.0,0.0,0.0,50.583916,1.0,3.0,0.0,46.795334,0.0
68.0,168.92656,11.592792,96.986755,17.0,1.7639394,0.0,88.0,26.91323,6.0,4.0,21.665087,0.0,27.0,2.0,1.0,1.0,49.242714,72.33391,5.0,1.0,1.0,88.61472,0.0
84.0,282.20383,1.0,173.89687,18.660885,1.0,0.0,95.0,68.78647,6.0,5.0,16.0,2.0,37.256653,1.4262751,1.0,1.0,2.0,-8.0,2.0,1.0,0.0,46.391903,0.0
75.0,273.26642,25.580315,102.60244,14.0,0.0,0.0,98.0,-7.0,6.0,6.0,15.0,0.0,23.980118,-8.0,0.0,0.0,36.19107,29.868061,2.0,1.0,0.0,100.0,0.0
74.0,168.07591,5.0,67.2323,22.0,0.0,0.0,100.0,-7.0,7.0,8.0,22.0,3.0,55.990437,0.0,0.0,0.0,57.982075,76.74798,5.0,3.0,1.0,75.0,0.0
70.60228,319.34512,3.0,96.7964,39.775135,0.0,0.0,93.82224,31.230213,6.0,6.0,36.738247,6.2393017,50.0,0.0,2.0,2.0,19.348705,-8.0,7.0,3.3271792,0.0,83.0,0.0
81.61882,172.52257,6.5606833,93.0,21.856932,0.0,0.0,96.0,17.540943,6.0,6.0,9.233014,2.0,28.465412,-8.0,0.0,0.0,11.0,25.178782,2.0,2.0,0.0,38.0,0.0
77.0,253.96321,11.0,73.55588,25.0,0.0,0.0,100.0,-7.0,7.0,8.0,25.0,1.0,20.0,0.0,0.0,0.0,4.0,71.86026,2.0,4.0,0.0,67.0,0.0
56.26826,306.80612,42.389107,105.17755,16.0,0.0,0.0,64.18307,2.0,6.0,6.0,13.49045,0.0,27.0,0.0,1.0,1.0,64.69585,-8.0,7.0,2.0,4.0,84.63507,0.0
84.0,166.66579,5.0,82.0,40.0,0.0,0.0,100.0,-7.0,7.0,8.0,48.185184,1.0,45.924736,1.0,1.0,1.0,18.0,74.86073,3.0,3.0,0.0,76.73477,0.0
83.0,150.67337,12.0,59.107025,29.0,0.0,0.0,100.0,-7.0,7.0,8.0,29.0,4.0,25.0,4.0,1.0,1.0,18.485224,-8.0,2.0,1.0,0.0,23.750435,0.0
73.0,191.617,9.151708,80.55165,28.99811,0.0,0.0,91.54694,-7.0,6.0,6.0,34.0,2.0,39.0,11.973761,0.0,0.0,20.799078,87.51258,5.0,2.0,0.0,67.0,0.0
