estimate_of_risk,months_since_first_trade,months_since_last_trade,average_duration_of_resolution,number_of_satisfactory_trades,nr_trades_insolvent_for_over_60_days,nr_trades_insolvent_for_over_90_days,percentage_of_legal_trades,months_since_last_illegal_trade,maximum_illegal_trades_over_last_year,maximum_illegal_trades,nr_total_trades,nr_trades_initiated_in_last_year,percentage_of_installment_trades,months_since_last_inquiry_not_recent,nr_inquiries_in_last_6_months,nr_inquiries_in_last_6_months_not_recent,net_fraction_of_revolving_burden,net_fraction_of_installment_burden,nr_revolving_trades_with_balance,nr_installment_trades_with_balance,nr_banks_with_high_ratio,percentage_trades_with_balance,is_at_risk
68.0,236.46992,8.0,89.40303,23.410189,2.0,1.0,91.0,26.4073,6.0,2.9958131,27.740198,1.0,38.0,0.0,2.0,2.0,37.790413,89.10199,3.0,3.0,3.0,45.37772,0.0
68.0,234.32253,2.0,110.766556,18.0,0.0,0.0,79.00514,34.415295,6.0,6.0,30.0,1.0,29.0,22.328238,0.0,0.0,68.65219,69.87892,5.0,2.8337228,2.0,71.0,0.0
86.0,128.60387,32.75035,117.86796,15.0,0.0,0.0,100.0,-7.0,7.0,8.0,12.0,0.0,40.19902,0.0,2.0,2.0,26.006807,-8.0,1.0,1.0,0.0,50.0,0.0
70.0,282.18848,8.877224,98.16786,19.0,0.0,0.0,100.0,-7.0,7.0,8.0,21.0,1.0,22.0,8.1636505,0.0,0.0,56.35869,-8.0,2.0,1.0,2.0,46.309166,0.0
69.0,152.46616,2.0,74.0,16.0,1.0,0.0,90.0,56.740334,6.0,5.0,26.0,4.667587,24.222853,1.0,1.0,1.0,58.67901,79.0,3.0,3.0,0.0,63.0,0.0
89.0,187.68115,5.0,134.2362,17.048292,0.0,0.0,100.0,-7.0,7.0,8.0,9.057674,1.0,43.169186,-7.0,1.0,0.0,20.3026,-8.0,4.0,-8.0,0.0,57.169506,0.0
74.84047,180.02357,12.0,72.90603,27.0,0.0,0.0,100.0,-7.0,7.0,8.0,24.0,0.0,0.0,0.0,0.0,0.0,50.63358,-8.0,7.841164,-8.0,2.0,88.68111,0.0
66.0,115.976875,8.0,103.26287,20.0,0.0,0.0,84.85735,11.979133,5.903119,6.0,4.6019807,1.0,15.0,-7.0,1.0,0.0,46.19815,-8.0,8.0,2.0,1.0,76.41824,0.0
72.0,192.02667,5.0,74.52712,46.134922,0.0,0.0,89.78089,18.71218,6.0,6.0,53.8594,5.0,17.0,-8.0,0.0,0.0,58.19458,-8.0,3.0,2.0,1.0,44.0,0.0
78.80033,255.12512,14.0,107.099754,25.0,0.0,0.0,100.0,-7.0,4.0,8.0,11.44363,1.0,27.387032,0.0,1.0,1.0,15.0,20.279623,5.0,1.0,0.0,61.562065,0.0
84.0,395.10703,4.8463497,121.35736,27.0,0.0,0.0,100.0,-7.0,7.0,8.0,33.384968,1.0,22.187773,5.0,1.0,1.0,19.42501,46.24128,4.0,1.0,0.0,56.10485,0.0
79.0,137.87958,6.0,74.0,12.0,0.0,0.0,92.0,54.618984,6.0,6.0,13.0,2.0,64.65,0.0,1.0,0.0,6.0,67.9969,2.0,1.0,0.0,58.252827,0.0
68.0,155.22499,7.0,76.0,26.204985,0.0,0.0,90.0,-7.0,4.0,6.0,20.0,2.0,57.59501,0.0,2.0,1.0,22.808796,43.91157,2.0,2.0,0.0,54.768105,0.0
79.680885,220.702,2.0,61.627598,15.148122,0.0,0.0,100.0,-7.0,7.0,8.0,16.437971,4.0,33.877514,1.0,0.0,0.0,44.196373,74.0,2.0,5.0,0.0,79.67612,0.0
89.0,241.69164,26.467924,164.1321,13.0,0.0,0.0,100.0,-7.0,7.0,8.0,18.0,0.0,11.0,-7.0,0.0,0.0,5.0,-8.0,3.0,-8.0,0.0,93.358795,0.0
